	Species	Genes	Methylobacterium durans	Methylobacterium indicum	Methylobacterium phyllosphaerae	Methylobacterium radiodurans	Methylobacterium terrae	mean ZH-Score
1251	5	5	WP_109890964.1	WP_207181734.1	WP_043386914.1	WP_109949666.1	WP_109960203.1	95897.93639999999
2768	5	6	WP_236960547.1	WP_048428604.1,WP_207179775.1	WP_043353026.1	WP_245930788.1	WP_109962173.1	81926.79514285714
2460	5	5	WP_109896464.1	WP_207178558.1	WP_075380717.1	WP_109954115.1	WP_109961063.1	69273.63002857142
2880	5	5	WP_236961082.1	WP_244278495.1	WP_051975947.1	WP_109952080.1	WP_208642368.1	56719.39953333333
2678	5	5	WP_236960122.1	WP_207178554.1	WP_043382807.1	WP_109951341.1	WP_109961060.1	53884.95917777778
3874	5	5	WP_109889663.1	WP_207182058.1	WP_075380963.1	WP_109950423.1	WP_109960737.1	52678.3976
1129	5	5	WP_109890605.1	WP_207179700.1	WP_043389413.1	WP_109951198.1	WP_109958441.1	52344.681500000006
1222	5	5	WP_109890889.1	WP_207181965.1	WP_075380136.1	WP_109951254.1	WP_109958966.1	51119.963510526315
4691	5	5	WP_109891442.1	WP_207180638.1	WP_043383225.1	WP_109951158.1	WP_109961145.1	50876.659094736846
683	5	5	WP_109889055.1	WP_058617355.1	WP_043380649.1	WP_109950823.1	WP_109957635.1	48638.566280645144
212	5	5	WP_109887127.1	WP_207177788.1	WP_075380151.1	WP_109951500.1	WP_109960130.1	48005.72269090908
2744	5	5	WP_236960470.1	WP_244749017.1	WP_236952778.1	WP_245930633.1	WP_245442780.1	47729.00733750001
2421	5	5	WP_109896249.1	WP_058617199.1	WP_043755915.1	WP_245930572.1	WP_167450844.1	46023.284172727275
3167	5	5	WP_109886736.1	WP_207183280.1	WP_043389419.1	WP_109953805.1	WP_245442750.1	45012.9038173913
162	5	5	WP_109887005.1	WP_207181533.1	WP_075380457.1	WP_109949481.1	WP_208642296.1	43245.58844166666
2301	5	5	WP_109895677.1	WP_048429093.1	WP_043349459.1	WP_066926467.1	WP_109957886.1	43002.199169230764
2905	5	6	WP_109895617.1	WP_207179075.1	WP_043345428.1,WP_075380983.1	WP_109949808.1	WP_109961429.1	41434.50970833333
1642	5	5	WP_109892124.1	WP_053220784.1	WP_043345803.1	WP_109952176.1	WP_109962249.1	41014.577276
2489	5	5	WP_109896568.1	WP_244748841.1	WP_075379636.1	WP_109951766.1	WP_245442913.1	38312.931488888884
2249	5	5	WP_109895546.1	WP_048425829.1	WP_010686176.1	WP_109952583.1	WP_048450468.1	37657.74133333334
644	5	5	WP_109888947.1	WP_207179021.1	WP_043355388.1	WP_109950663.1	WP_109959349.1	36383.62616
1660	5	5	WP_109892170.1	WP_207179648.1	WP_043760494.1	WP_109951924.1	WP_109958562.1	34821.78936666667
733	5	5	WP_109889338.1	WP_179945835.1	WP_075379710.1	WP_109951879.1	WP_109960445.1	34109.874866666665
1857	5	5	WP_109893420.1	WP_048426008.1	WP_043384457.1	WP_109952341.1	WP_109959805.1	32614.503650000002
1422	5	5	WP_109891522.1	WP_207181013.1	WP_043347781.1	WP_109950852.1	WP_109960838.1	30488.91118571429
2501	5	5	WP_109896600.1	WP_048426437.1	WP_043348864.1	WP_109953593.1	WP_109961483.1	29391.177850000004
314	5	5	WP_109887459.1	WP_048430053.1	WP_043350523.1	WP_245930929.1	WP_109959033.1	28351.497316666664
1686	5	5	WP_109892250.1	WP_207178876.1	WP_075379669.1	WP_109953750.1	WP_109957387.1	26135.63458461538
2173	5	5	WP_109895268.1	WP_058616991.1	WP_043383655.1	WP_109952010.1	WP_109961423.1	24442.892780000002
2268	5	5	WP_109895586.1	WP_048429406.1	WP_043348274.1	WP_109952600.1	WP_109960478.1	24328.926483333333
1496	5	5	WP_109891655.1	WP_082171947.1	WP_075381503.1	WP_109953564.1	WP_109962008.1	22964.128694117648
1394	5	5	WP_109891460.1	WP_048428304.1	WP_043356004.1	WP_109954096.1	WP_048434235.1	22821.605894117645
1380	5	5	WP_109891428.1	WP_048430779.1	WP_043383200.1	WP_109951518.1	WP_109959398.1	22651.62416666666
816	5	5	WP_109889581.1	WP_207182152.1	WP_043356908.1	WP_109950117.1	WP_109960667.1	22207.8823952381
2459	5	5	WP_109896460.1	WP_048427153.1	WP_091955302.1	WP_109950732.1	WP_109959125.1	22114.5756875
